_RAJ2000,_DEJ2000,_V,RAJ2000,DEJ2000,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
52.449984,30.275549,VizieR,52.449984,30.275549,03294799+3016319,16.308,0.115,15.07,0.086,14.683,0.093,BAA,222,111,000,0,0
52.431772,30.288174,VizieR,52.431772,30.288174,03294362+3017174,16.444,0.133,15.583,0.128,15.175,0.14,BBB,222,111,000,0,0
52.35691,30.273832,VizieR,52.35691,30.273832,03292565+3016257,14.764,0.038,14.183,0.045,13.995,0.057,AAA,222,111,000,0,0
52.311248,30.270205,VizieR,52.311248,30.270205,03291469+3016127,15.598,0.062,14.689,0.052,14.419,0.075,AAA,222,111,000,0,0
52.344685,30.275875,VizieR,52.344685,30.275875,03292272+3016331,15.775,0.067,15.052,0.09,14.819,0.108,AAA,222,111,000,0,0
52.344579,30.290604,VizieR,52.344579,30.290604,03292269+3017261,15.265,0.049,14.434,0.056,14.1,0.06,AAA,222,111,000,0,0
52.333701,30.276247,VizieR,52.333701,30.276247,03292008+3016344,14.476,0.034,13.742,0.042,13.452,0.045,AAA,222,111,000,0,0
52.330097,30.279472,VizieR,52.330097,30.279472,03291922+3016460,16.962,0.197,16.117,0.187,15.815,0.253,CCD,222,111,000,0,0
52.39474,30.283384,VizieR,52.39474,30.283384,03293473+3017001,15.669,0.07,15.079,0.078,14.514,0.08,AAA,222,111,000,0,0
52.381194,30.299473,VizieR,52.381194,30.299473,03293148+3017581,15.906,0.081,15.072,0.085,14.862,0.096,AAA,222,111,000,0,0
52.375456,30.294575,VizieR,52.375456,30.294575,03293010+3017404,15.224,0.044,14.562,0.064,14.365,0.067,AAA,222,111,000,0,0
52.39535,30.295719,VizieR,52.39535,30.295719,03293488+3017445,14.538,0.038,13.967,0.048,13.717,0.048,AAA,222,111,000,0,0
52.407467,30.294729,VizieR,52.407467,30.294729,03293779+3017410,16.358,0.125,15.347,0.113,15.132,0.139,BBB,222,111,000,0,0
52.394592,30.312361,VizieR,52.394592,30.312361,03293470+3018444,16.834,0.181,15.62,0.132,16.213,,CBU,220,110,000,0,0
52.412027,30.301058,VizieR,52.412027,30.301058,03293888+3018038,16.758,0.161,16.12,0.214,15.919,0.296,CCD,222,111,000,0,0
52.399179,30.313919,VizieR,52.399179,30.313919,03293580+3018501,15.252,0.044,14.732,0.068,14.702,0.094,AAA,222,111,000,0,0
52.353598,30.288736,VizieR,52.353598,30.288736,03292486+3017194,16.409,0.114,15.359,0.12,15.266,0.15,BBB,222,111,000,0,0
52.36018,30.28466,VizieR,52.36018,30.28466,03292644+3017047,16.394,0.112,15.591,0.12,15.147,0.13,BBB,222,111,000,0,0
52.352901,30.306955,VizieR,52.352901,30.306955,03292469+3018250,15.332,0.048,14.427,0.047,14.029,0.058,AAA,222,111,000,0,0
52.348116,30.301876,VizieR,52.348116,30.301876,03292354+3018067,14.12,0.045,13.469,0.062,13.248,0.052,AAA,222,222,ccc,0,0
52.348624,30.300917,VizieR,52.348624,30.300917,03292366+3018033,15.063,0.043,14.255,0.054,13.87,0.054,AAA,222,222,ccc,0,0
52.351154,30.302132,VizieR,52.351154,30.302132,03292427+3018076,16.476,0.127,15.823,0.163,15.327,0.153,BCC,222,111,000,0,0
52.375377,30.302107,VizieR,52.375377,30.302107,03293009+3018075,16.165,0.093,15.316,0.097,14.92,0.107,AAA,222,111,000,0,0
52.381725,30.302305,VizieR,52.381725,30.302305,03293161+3018082,15.842,0.088,15.414,0.128,15.061,0.125,ABB,222,111,000,0,0
52.361903,30.314301,VizieR,52.361903,30.314301,03292685+3018514,16.679,0.16,16.049,0.171,15.381,,CCU,220,110,000,0,0
52.381995,30.311134,VizieR,52.381995,30.311134,03293167+3018400,15.41,0.054,15.16,0.077,14.846,0.108,AAA,222,111,000,0,0
52.365074,30.326782,VizieR,52.365074,30.326782,03292761+3019364,17.24,0.237,16.082,0.174,15.656,0.23,DCD,222,111,000,0,0
52.386761,30.338327,VizieR,52.386761,30.338327,03293282+3020179,16.586,0.141,15.447,0.112,15.326,0.165,BBC,222,111,000,0,0
52.376192,30.313433,VizieR,52.376192,30.313433,03293028+3018483,16.779,0.175,16.24,0.223,15.57,0.201,CDC,222,111,000,0,0
52.386095,30.326691,VizieR,52.386095,30.326691,03293266+3019360,13.799,0.028,13.162,0.033,13.015,0.033,AAA,222,111,000,0,0
52.385593,30.329941,VizieR,52.385593,30.329941,03293254+3019477,16.294,0.112,15.633,0.118,15.658,0.215,BBC,222,111,000,0,0
52.732985,30.338139,VizieR,52.732985,30.338139,03305591+3020173,16.349,0.128,15.791,0.187,15.569,0.18,BCC,222,111,000,0,0
52.737256,30.338142,VizieR,52.737256,30.338142,03305694+3020173,16.563,0.157,17.132,,15.784,,CUU,200,100,000,0,0
52.865243,30.384117,VizieR,52.865243,30.384117,03312765+3023028,15.072,0.04,14.365,0.048,14.052,0.048,AAA,222,111,000,0,0
52.747507,30.342812,VizieR,52.747507,30.342812,03305940+3020341,14.964,0.042,14.108,0.04,13.831,0.046,AAA,222,111,000,0,0
52.762022,30.340849,VizieR,52.762022,30.340849,03310288+3020270,13.447,0.023,12.897,0.026,12.684,0.024,AAA,222,111,000,0,0
52.754323,30.33934,VizieR,52.754323,30.33934,03310103+3020216,14.433,0.031,13.94,0.041,13.557,0.038,AAA,222,111,000,0,0
52.784946,30.354725,VizieR,52.784946,30.354725,03310838+3021170,15.769,0.074,15.27,0.109,15.063,0.117,ABB,222,111,000,0,0
52.760304,30.366436,VizieR,52.760304,30.366436,03310247+3021591,14.059,0.027,13.455,0.031,13.156,0.03,AAA,222,111,000,0,0
52.808641,30.362282,VizieR,52.808641,30.362282,03311407+3021442,16.28,0.112,15.47,0.13,15.271,0.135,BBB,222,111,000,0,0
52.808818,30.369249,VizieR,52.808818,30.369249,03311411+3022092,13.841,0.026,13.379,0.029,13.189,0.031,AAA,222,111,000,0,0
52.858321,30.382767,VizieR,52.858321,30.382767,03312599+3022579,13.311,0.023,12.39,0.022,12.074,0.021,AAA,222,111,000,0,0
52.830625,30.395258,VizieR,52.830625,30.395258,03311935+3023429,14.486,0.03,13.899,0.039,13.716,0.036,AAA,222,111,000,0,0
52.851552,30.386372,VizieR,52.851552,30.386372,03312437+3023109,15.919,0.082,14.797,0.072,14.403,0.061,AAA,222,111,000,0,0
52.839779,30.400843,VizieR,52.839779,30.400843,03312154+3024030,16.227,0.107,15.659,0.17,15.456,0.16,ACC,222,111,000,0,1
52.837808,30.403172,VizieR,52.837808,30.403172,03312107+3024114,16.813,0.182,15.499,0.132,15.112,0.136,CBB,222,111,000,0,0
52.786242,30.38236,VizieR,52.786242,30.38236,03310869+3022564,16.69,0.162,15.531,0.13,15.314,0.143,CBB,222,111,000,0,0
52.796266,30.387369,VizieR,52.796266,30.387369,03311110+3023145,15.289,0.054,14.523,0.059,14.175,0.053,AAA,222,111,000,0,0
