_RAJ2000,_DEJ2000,_V,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g'mag,e_g'mag,r'mag,e_r'mag,i'mag,e_i'mag
52.38594508,30.32690203,VizieR,52.385945,30.326902,1.433,0.572,20121442,4,8,,,,,,,17.05,0.045,15.913,0.062,15.256,0.094
52.76186609,30.34072101,VizieR,52.761866,30.340721,0.883,0.723,20121442,3,10,1.647,0.209,16.347,0.0,17.994,0.209,17.028,0.082,15.795,0.017,15.165,0.12
52.80865002,30.36922204,VizieR,52.80865,30.369222,1.22,0.659,20121442,3,9,,,,,,,16.759,0.06,15.768,0.105,15.327,0.019
52.93058991,30.445696,VizieR,52.93059,30.445696,0.847,0.79,20121442,5,33,1.644,0.212,15.631,0.135,17.275,0.164,16.428,0.034,14.889,0.035,14.037,0.032
52.86132908,30.39734495,VizieR,52.861329,30.397345,0.82,0.715,20121442,7,34,1.634,0.044,15.447,0.028,17.082,0.034,16.122,0.058,14.841,0.049,13.689,0.076
52.86152697,30.39727199,VizieR,52.861527,30.397272,1.314,0.555,20180085,2,8,,,,,,,,,,,,
52.70679593,30.35253894,VizieR,52.706796,30.352539,0.654,0.829,20121442,5,12,,,,,,,17.262,0.089,15.35,0.031,14.235,0.075
52.45836806,30.28071594,VizieR,52.458368,30.280716,1.571,0.985,20121442,4,5,,,,,,,17.558,0.0,15.887,0.0,14.878,0.094
52.474509,30.34744501,VizieR,52.474509,30.347445,0.129,0.198,20180020,7,105,0.57,0.099,9.811,0.053,10.382,0.083,10.112,0.098,9.686,0.058,9.54,0.046
52.44948912,30.36613095,VizieR,52.449489,30.366131,0.616,0.668,20121442,6,76,1.332,0.067,14.784,0.03,16.116,0.061,15.507,0.063,14.148,0.034,13.458,0.068
52.53579903,30.37889397,VizieR,52.535799,30.378894,0.129,0.156,20180020,7,110,0.723,0.084,10.989,0.043,11.712,0.073,11.366,0.066,10.829,0.052,10.659,0.059
